QueryNumber;QueryText
00001;EFFECT CALCIUM PHYSIC PROPERTI MUCU PATIENT
00002;ON DISTINGUISH EFFECT MUCU HYPERSECRET INFECT SUBMUCOS GLAND RESPIRATORI TRACT
00003;SALIVARI GLYCOPROTEIN PATIENT DIFFER NORMAL SUBJECT
00004;LIPID COMPOSIT RESPIRATORI SECRET
00005;MUCU ABNORM
00006;EFFECT WATER THERAPEUT AGENT PHYSIC PROPERTI VISCOS ELAST SPUTUM BRONCHIAL SECRET PATIENT
00007;MUCU GLYCOPROTEIN DEGRAD DIFFER PATIENT COMPAR NORMAL SUBJECT
00008;HISTOCHEM DIFFER DESCRIB NORMAL RESPIRATORI EPITHELIA
00009;ASSOCI LIVER DISEAS CIRRHOSI VITAMIN METABOL
00010;ROLE VITAMIN THERAPI PATIENT
00011;DIFFER MECONIUM ILEU MECONIUM PLUG SYNDROM
00012;ABNORM AMINO ACID TRANSPORT DESCRIB SMALL BOWEL PATIENT
00013;CLINIC BIOCHEM FEATUR PANCREAT PATIENT
00014;TEST PERFORM EVALU EXOCRIN PANCREAT FUNCTION PATIENT
00015;HEPAT COMPLIC MANIFEST
00016;GASTROINTESTIN COMPLIC NEONAT PERIOD EXCLUD LIVER DISEAS MECONIUM ILEU
00017;EFFECT REGIMEN US PANCREAT ENZYM SUPPLEMENT TREATMENT PATIENT
00018;DIETARI SUPPLEMENT BILE SALT THERAPEUT BENEFIT PATIENT
00019;COMPLIC PANCREAT ENZYM THERAPI REPORT PATIENT
00020;EFFECT TREATMENT PATIENT ESSENTI FATTI ACID SUPPLEMENT
00021;PANCREAT INSUFFICI PATIENT AFFECT ABIL ABSORB METABOL IRON
00022;FREQUENC POPUL
00023;CONGENIT HEREDITARI DISEAS CONDIT FOUND ASSOCI
00024;CHARACTERIST PATIENT INCOMPLET MANIFEST
00025;EVID GENET BASI INVOLV ON GENE
00026;HETEROZYGOT ADVANTAG
00027;CONCORD CLINIC BIOCHEM MANIFEST SIBL PAIR
00028;INCID MALE FERTIL
00029;PATHOLOG REPRODUCT SYSTEM MALE FEMAL
00030;RESULT GENET COUNSEL FAMILI CHILDREN
00031;MAJOR PSYCHOLOG SOCIAL EFFECT PATIENT FAMILI
00032;FACTOR INFLUENC COMPLIANC PRESCRIB THERAPI PATIENT
00033;CONDIT FACTOR LEAD ERRON SWEAT TEST
00034;ALTERN TECHNIQU CLASSIC QUANTIT PILOCARPIN IONTOPHORESI TEST TITRIMETR ANALYSI CHLORID AVAIL SWEAT TEST REL ADVANTAG DISADVANTAG
00035;PATIENT FOUND CONSIST NORMAL SWEAT TEST
00036;CONCENTR POTASSIUM SWEAT PATIENT
00037;TECHNIQU AVAIL SCREEN NEWBORN INFANT FACTOR CONTRIBUT ERRON RESULT TEST
00038;DIAGNOS PRENAT
00039;MAI HETEROZYGOT IDENTIFI
00040;SWEAT TEST TECHNIQU MAI US BEYOND NEONAT PERIOD DIAGNOSI
00041;VITAMIN METABOL NORMAL PATIENT
00042;ABNORM INSULIN SECRET INSULIN METABOL OCCUR PATIENT
